,Unnamed: 0,text,date,user,location,Clean_Tweet
1341,1341,Just got my #BoosterShot and #FluShot. Sippin a drink and feelin' fine.,2021-12-02 01:42:46,Doreamus,seattle,Just got my and . a drink and ' fine .
1342,1342,I got my #BoosterShot 💉 https://t.co/lW55BomXEj,2021-12-02 01:34:18,babylipskells,Oregon,I got my 💉
1343,1343,#BoosterShot + free ride on SpongeBob! #MallofAmerica https://t.co/sqeXKtuvrJ,2021-12-02 01:33:15,The_Toader,Minneapolis,+ free ride on !
1344,1344,Got my booster shot today. My arm is starting to hurt. #fullyvaxxed #BoosterShot #vaxxedandboosted #boostedandgay,2021-12-02 01:32:37,DukeNasty1331,"Chicago, IL",Got my booster shot today . My arm is starting to hurt .
1345,1345,@Peter_Fitz Thanks for the prompt. Booked mine this morning. Dr said they're adhering strictly to the 6 month after… https://t.co/QAVTqnzlg5,2021-12-02 01:11:01,jboyded,,Thanks for the prompt . Booked mine this morning . said they ' re strictly to the  month after …
1346,1346,"@BorisJohnson Uncle Boris and his cohorts have told you what to do, NOW DO IT

Don’t think about the many, often br… https://t.co/pvynyMT4Va",2021-12-02 01:01:38,MrSmileyFace73,,"Uncle and his have told you what to do , NOW DO IT Don ’ t think about the many , often …"
1347,1347,"The holiday season is in full swing, meaning folks will be travelling or visting to celebrate. It's a good idea to… https://t.co/hPzTpKeyRi",2021-12-02 01:00:08,305Mosquito,"Miami-Dade, FL","The holiday season is in full swing , meaning will be or to celebrate . It ' s a good idea to …"
1348,1348,Got that booster. The 9G is ridiculously fast. #BoosterShot https://t.co/hZSmdqQKdA,2021-12-02 00:58:50,thegen_xer,Galifrey,Got that booster . The G is ridiculously fast .
1349,1349,"Got Pfizer’d too! 💉👍

Happy Birthday wifey @ladylyn_md! 
Wishing you all the happiest and brightest day ever! Keep… https://t.co/7vyqRMFoSZ",2021-12-02 00:48:58,donaldMD,Philippines,Got ’ d too ! 💉👍 Happy Birthday ! Wishing you all the happiest and day ever ! Keep …
1350,1350,RT @ResistanceInRed: I will be eligible for my #BoosterShot next month. AND I will most certainly get it!,2021-12-02 00:35:27,DianeXavier12,,: I will be eligible for my next month . AND I will most certainly get it !
1351,1351,RT @ResistanceInRed: I will be eligible for my #BoosterShot next month. AND I will most certainly get it!,2021-12-02 00:34:57,DoctorLordBasil,vvv buy me a coffee? vvv,: I will be eligible for my next month . AND I will most certainly get it !
1352,1352,"Boosted!
#BoosterShot #Pfizer",2021-12-02 00:34:27,jennypearman1,"South East, England",!
1353,1353,I will be eligible for my #BoosterShot next month. AND I will most certainly get it!,2021-12-02 00:32:11,ResistanceInRed,"South Carolina, USA",I will be eligible for my next month . AND I will most certainly get it !
1354,1354,"RT @S10Blade: Two cardiac arrests at football matches. One at Watford v Chelsea and the other at Southampton v Leicester. Obviously, irs un…",2021-12-02 00:14:49,FionaWi16758737,,": Two cardiac at football . One at v and the other at v . Obviously , un …"
1355,1355,Two cardiac arrests at football matches. One at Watford v Chelsea and the other at Southampton v Leicester. Obvious… https://t.co/EiNijusNa4,2021-12-02 00:11:41,S10Blade,"Sheffield, England",Two cardiac at football . One at v and the other at v . Obvious …
1356,1356,RT @TaisonBell: This is not a surprise but shows that the #OmicronVariant is here and has been here. What to do now is the same as what we…,2021-12-02 00:04:49,LunaticSX,"San Francisco, CA",: This is not a surprise but that the is here and been here . What to do now is the same as what we …
1357,1357,Hey I know! You should get another #BoosterShot just in case the rest of us haven’t gotten enough of em. #StickIt… https://t.co/OzZ4xLCAZu,2021-12-02 00:03:45,MahanBethany,,Hey I know ! You should get another just in case the rest of us haven ’ t gotten enough of em . StickIt …
1358,1358,Got my #Pfizer #BoosterShot today! 👍 https://t.co/mis0ISnHsf,2021-12-01 23:54:07,Tawalkin,United States,Got my today ! 👍
1359,1359,RT @JewishVoice: Man Forces to Get Vaccine to Receive Transplant Dies After Moderna Shot - https://t.co/iaVsO2LbLa #CovidVaccine @moderna_t…,2021-12-01 23:50:43,cammymad,,: Man to Get Vaccine to Receive Transplant After Shot - t …
1360,1360,Got my #BoosterShot #TeamModerna,2021-12-01 23:46:37,liamsteckler,"Seattle, WA",Got my
1361,1361,RT @UCDavisHealth: Keep everyone healthy this holiday season by getting your #COVID19 booster dose as soon as possible. Learn more about th…,2021-12-01 23:30:39,CMNatUCDavis,"Sacramento, CA",: Keep everyone healthy this holiday season by getting your COVID booster dose as soon as possible . Learn more about th …
1362,1362,Had my booster shot today. Hope the no side affects continues tomorrow. #BoosterShot #pfizerbooster,2021-12-01 23:30:32,ImAaronStone,"Takoma Park, MD",Had my booster shot today . Hope the no side tomorrow .
1363,1363,RT @DAPFpodcast: Dark Angels &amp; Pretty Freaks #Podcast #351 “Naily Toes” #Married #Chatting #Life #Unedited #Thankful 4 everyone still liste…,2021-12-01 23:26:15,IndieAngles,,: Dark & ; Pretty  “ Naily ” Married Chatting Life Unedited Thankful  everyone still …
1364,1364,Dark Angels &amp; Pretty Freaks #Podcast #351 “Naily Toes” #Married #Chatting #Life #Unedited #Thankful 4 everyone stil… https://t.co/113iQJ8GCC,2021-12-01 23:26:00,DAPFpodcast,"Napa, California",Dark & ; Pretty  “ Naily ” Married Chatting Life Unedited Thankful  everyone …
1365,1365,RT @TaisonBell: This is not a surprise but shows that the #OmicronVariant is here and has been here. What to do now is the same as what we…,2021-12-01 23:22:35,garygoodenough,Northern,: This is not a surprise but that the is here and been here . What to do now is the same as what we …
